Usuario,Tag,THT_pre,ND_pre,HPD_pre,NPPD_pre,DCJ_pre,Riesgo_pre,THT_post,ND_post,TPP_post,HPD_post,NPPD_post,DCJ_post,Riesgo_post,PRTPJ_HPD,PRTPJ_NPPD,PRTPJ_DCJ,dif_HPD,dif_NPPD,dif_DCJ
Mewi,LAS,28.26,15,1.88,4.0,4,Bajo,25.49,17,55,1.5,3.24,3,Bajo,20.212765957446805,18.999999999999993,25.0,0.3799999999999999,0.7599999999999998,1
moko,1040,28.97,7,4.14,8.57,7,Alto,28.37,9,57,3.15,6.33,9,Medio,23.913043478260864,26.137689614935823,-28.57142857142857,0.9899999999999998,2.24,-2
Barry Chopper,LAS,28.71,17,1.69,3.53,5,Bajo,26.63,16,56,1.66,3.5,5,Bajo,1.7751479289940846,0.8498583569405045,0.0,0.030000000000000027,0.029999999999999805,0
Matisinho,000,30.3,14,2.16,4.29,3,Bajo,29.52,16,60,1.84,3.75,3,Bajo,14.814814814814817,12.587412587412588,0.0,0.32000000000000006,0.54,0
Amal2,LAS,28.47,17,1.67,3.53,8,Bajo,26.87,14,57,1.92,4.07,8,Medio,-14.970059880239523,-15.297450424929194,0.0,-0.25,-0.5400000000000005,0
Dsá,Meins,31.1,14,2.22,4.29,6,Medio,28.15,10,55,2.81,5.5,4,Bajo,-26.576576576576567,-28.205128205128204,33.33333333333333,-0.5899999999999999,-1.21,2
Takirø,弓の神7R,30.31,12,2.53,5.0,12,Medio,26.57,14,54,1.9,3.86,12,Bajo,24.901185770750985,22.800000000000004,0.0,0.6299999999999999,1.1400000000000001,0
Teemomazos,PER,27.14,13,2.09,4.62,5,Bajo,26.0,14,58,1.86,4.14,4,Bajo,11.004784688995205,10.389610389610398,20.0,0.22999999999999976,0.4800000000000004,1
LoboAlfaKevin,LAS,30.5,23,1.33,2.61,9,Bajo,28.29,17,54,1.66,3.18,8,Bajo,-24.81203007518796,-21.839080459770127,11.11111111111111,-0.32999999999999985,-0.5700000000000003,1
TeShacølaCtM,LAS,30.28,14,2.16,4.29,4,Bajo,30.3,13,57,2.33,4.38,4,Bajo,-7.870370370370367,-2.0979020979020944,0.0,-0.16999999999999993,-0.08999999999999986,0
Pirlo,ush,27.9,13,2.15,4.62,5,Bajo,25.95,13,57,2.0,4.38,4,Bajo,6.976744186046507,5.194805194805199,20.0,0.1499999999999999,0.2400000000000002,1
Dito,rey,29.5,12,2.46,5.0,12,Medio,27.94,12,56,2.33,4.67,8,Medio,5.2845528455284505,6.600000000000001,33.33333333333333,0.1299999999999999,0.33000000000000007,4
ignaa42,LAS,29.04,16,1.81,3.75,6,Bajo,27.66,16,59,1.73,3.69,4,Bajo,4.419889502762435,1.6000000000000014,33.33333333333333,0.08000000000000007,0.06000000000000005,2
Mvko,LAS,29.78,21,1.42,2.86,9,Bajo,29.1,21,59,1.39,2.81,13,Bajo,2.1126760563380302,1.7482517482517421,-44.44444444444444,0.030000000000000027,0.04999999999999982,-4
el prokilll,LAS,30.49,12,2.54,5.0,4,Bajo,29.06,11,57,2.64,5.18,4,Bajo,-3.9370078740157513,-3.5999999999999943,0.0,-0.10000000000000009,-0.17999999999999972,0
kenyu3,LAS,27.43,16,1.71,3.75,6,Bajo,27.41,15,60,1.83,4.0,4,Bajo,-7.0175438596491295,-6.666666666666667,33.33333333333333,-0.1200000000000001,-0.25,2
jalamee,LAS,29.12,19,1.53,3.16,2,Bajo,27.04,18,55,1.5,3.06,2,Bajo,1.960784313725492,3.1645569620253196,0.0,0.030000000000000027,0.10000000000000009,0
Muerto,666,29.37,14,2.1,4.29,5,Bajo,28.77,15,58,1.92,3.87,5,Bajo,8.571428571428578,9.790209790209788,0.0,0.18000000000000016,0.41999999999999993,0
